S.No,Sentence,Annotator 1,Annotator 2,IAA,label
39,Link me to one saying weed 'addiction' is worse than alcoholism please.,Non-Sarcastic,Sarcastic,Disagree,Unknown
40,"The Bible. God did not write the Bible, he inspired the people to write it. You are right, no logical contradiction exists.   What is option C? I thought there were only evo or creo to choose from.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
41,"I believe Alan Keyes already have used that term on us.   (Alan Keyes, the ultra-concervative Republican Candidate for the Illinois Senate seat - in opposition to Barack Obama. The Maryland resident the Republican party had to recruit because they couldn't find anyone else in their right mind who would go against Barack. Also the very same Maryland resident/Television talkshow host who beratted Hilary Clinton for moving to NY and expecting to be able to ""represent"" NY'ers. Yeah, look who's the hypocrit now.)",Sarcastic,Sarcastic,Agree,Sarcastic
42,"do we want to have control over ourselves? some religios fanatics dont, and thats what im saying. i dont know much on this matter, im only 14. but, ive been to a conservative catholic school, and ive seen what it's like. its a narrow minded hellhole.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
43,Welcome to CuckooLand. Old Sarge will serve as your welcoming committee.,Sarcastic,Sarcastic,Agree,Sarcastic
44,"Yet Bush's military record is downright questionable, as well as his Saudi Links, not to mention his business failures.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
45,"wow, thanks for admitting how you really feel about sex apparently. never given your so-called 'wife' an orgasm eh? i sure could...lol...",Non-Sarcastic,Sarcastic,Disagree,Unknown
46,not according the SCJ of Mass. This was part of the grounds of their ruling FOR marriage in Mass.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
47,None... unless she uses abortion as a form of birth control and has them regularly.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
48,"In the split second something happens, we must protect ourselves.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
49,"A lot of work has been done on that topic. I would recommend reading Debating Design from Darwin to DNA It is a monster of a book, but it is definitely worth the read.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
50,"Actually ""I don't know"" is quite a valid answer in science.However, again you slip into this false construct of a belief that all that can be known is in the scope of science; which you've also denied saying you believe in the past.[quote=Montalban]Is this a rational statement? If so, prove it rationally, by science. ",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
51,"Not all christians are nuts. But this fellow. I suppose he will next say that the cause of the global warming is really hell encroaching on physical reality.
Huck",Sarcastic,Sarcastic,Agree,Sarcastic
52,"Again, we never said that a human fetus was a different species.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
53,"Actually, the process of fossilisation is not slow and can be done relatively quickly. All what you need is for sediments to quickly cover a dead (or an alive body - as what would have happened to Noah's Flood) and hence, fossilsation can occur rapidly; evolutionarly speaking, fossils take millions of years to fossilise a bone, but unless the bone is covered by sediments quickly, the bone will never fossilise. ",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
54,"If one can't attempt to falsify a theory then it is not open to science and therfore useless to science.
 
 It becomes simply an untestable belief.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
55,"Yes, you also have to admire his philosophy on this: go against my opinion and physical harm will befall you.   Who needs reason when you can threaten your opponents with death?",Sarcastic,Sarcastic,Agree,Sarcastic
56,"Their ""ultimate reality"" is that some higher authority may exist. It's still an ""ultimate reality"" to them. Definitely a religion.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
57,"I think you need to answer the same question I asked the other guy, who is God?",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
58,"much more is happening in the world today than your little gay crusade matthew. but keep your single issue, and totally limited perspective in life, that's what you're good at. could you post where i said that revelation speaks to the rcc vs the protestant reformation ms ? as christ was a jew trebor, his followers wont ever cease to exist, just as god has preserved the jew according to his promises. i'm surprised you can't appreciate that my friend.",Sarcastic,Sarcastic,Agree,Sarcastic
59,"**
Apparently you refuse to accept the fact that in English the words ""test"" and ""measure"" are NOT synonymous. Duh!!
",Sarcastic,Sarcastic,Agree,Sarcastic
60,Homosexuals are attracted to people of the same sex whether they be adults are children.............The vast majority of the priests who were charged admitted to being gay............,Sarcastic,Non-Sarcastic,Disagree,Unknown
61,"And I'm addressing your counter-arguments in that regard. One of those counter arguments has been that both chimps and ourselves had four billion years to evolve to our level of intelligence and that during all that time we were subject to the same ecological pressures. Neither of those statements is accurate. The first is misleading for the reasons outlined above, and the second is simply false: humans have experienced greatly different ecological challenges since we diverged from chimps.I'll finish up tomorrow - battery dead.",Non-Sarcastic,Sarcastic,Disagree,Unknown
62,"Invalid argument to assert that mutations can map a road outside of their assigned task in illogical, where would the information to do so come from? Biology works because every individual cell doing what it was created to do along with what the one next to it was, though created to perform another set of instructions creates the molecular change that the combination of the cells together would produce. But there is no additional information there... not int he way you assert.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
63,"If it was her head, I'd say implode. Air rushes in to fill a vacuum. ;)",Sarcastic,Sarcastic,Agree,Sarcastic
64,"I do and I was joking around. I'd never actually consider having sex with a Christian.emoticonXCry
Besides, a man your age should have learned the difference between love and sex.",Sarcastic,Non-Sarcastic,Disagree,Unknown
65,"Because, when each is in its natural habitat, they are reproductively isolated.",Non-Sarcastic,Sarcastic,Disagree,Unknown
66,I'll give you that one...only because I think by then women will be able to place their fertilized ovums in banks.   But then again they said the same thing about robot servants and flying cars too!,Sarcastic,Sarcastic,Agree,Sarcastic
67,If that's the case I wish someone would unplug me. I'm getting tired of this version of reality.,Sarcastic,Non-Sarcastic,Disagree,Unknown
68,"btw, jazyjason, before you edited out your complimentary comment about howard dean. just wanted to say i'm surprised you said anything to associate yourself thus with a such an irrational far left commie. must stay with the mudflingers and lynch mobs and, especially if they're jesus lovers, ya know. so ... i understand why you took it down. merry christmas.",Sarcastic,Sarcastic,Agree,Sarcastic
69,"Well hey, if you want the analogy, ya gotta live with where it bites ya ... emoticonXGood",Sarcastic,Sarcastic,Agree,Sarcastic
70,"Nope, you're posting your own BS.. and just making yourself look more stupid than you are.. if that's possible...
emoticonXCryemoticonXCryemoticonXCryemoticonXCryemoticonXCryemoticonXCryemoticonXCryemoticonXCry
How's your Uncle EZridden.. haven't seen him today...emoticonXKill",Sarcastic,Sarcastic,Agree,Sarcastic
71,"Please stop making statements that have nothing whatsoever to do with the debate at hand. We're not talking about Christian fundamentalism and ""reality"".",Non-Sarcastic,Sarcastic,Disagree,Unknown
72,Hehe.   Putting political messages on such things seems retarded to me though.   -Wez,Sarcastic,Sarcastic,Agree,Sarcastic
73,does the grand canyon strike you as a 'crack' as well? like? what makes them so dangerous if it ain't their guns and their willingness to use them?  this assumes that no da is presently going after them. something i highly doubt.  diversionary tactic on your part. wouldn't making guns harder for them to acquire be helpful?,Non-Sarcastic,Sarcastic,Disagree,Unknown
74,"he's one of your allies, so i'm surprised you'd think so.",Sarcastic,Sarcastic,Agree,Sarcastic
75,"I dunno about that, but possibly. They do know that those afflicted with ADD have some unusual structures in their brains too. Last I heard they were investigating the causality of homosexuality with developmental deficencies in the brain. The jury is not out yet",Non-Sarcastic,Sarcastic,Disagree,Unknown
76,"Well, where do you get your beliefs about right and wrong from? I mean, I know that you have moral standards and are most likely an ethical person.   Sandycane does have a point in her previous message to you. It is just that I think that the main point",Non-Sarcastic,Sarcastic,Disagree,Unknown
77,"Yup. Give me an example of a true inaccuracy, instead of working to poke fun. Do you honestly think anyone will take you seriously (except the evolutionists) if you don't provide reasons for your apparent problem with scriptures. Are you scared because you see the ""ancients"" commenting on subjects you thought science had ""discovered"" since the ""enlightenment""? Man, how arrogant can you get? You remind me of the Pharasees. Arrogant presuppositions are no substitue for confronting your ignorance my friend. Either explain how the Bible speaks accurately on sophisticated subjects as given above, or don't bother posting.",Sarcastic,Sarcastic,Agree,Sarcastic
78,"AGREED!!!!That has to be BY FAR the best series I've ever read!Also, Asimov's Foundation triligoy is good. And again, the classics:Fahrenheit 4511984Catcher in the Rye...and all those other depressing books...",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
79,"Speculation can be profitable.
A full head of hair is not unique.
My pyramidal tinfoil hat is an antenna for knowledge and truth. It reflects idiocy and dumbness into deep space.
You still haven't admitted to your error.",Sarcastic,Non-Sarcastic,Disagree,Unknown
80,"Dude, seriously, ask your parents permission before getting on the computer, please.
That's what I thought Archie. Do you ever get tired of being so predictably dishonest and detestable?",Sarcastic,Non-Sarcastic,Disagree,Unknown
81,So have you found figures pertaining to the rate of mountain growth? It is not enough to see with the naked eye the way erosion is. This explanation would also cause some mountains to fall as tectonic plates move away from eachother. Again after billions of years all rivers in existence would be deeper than those in the grand canyon without the material coming down from mountains.,Sarcastic,Sarcastic,Agree,Sarcastic
82,"Here is what fascinates me about the judgmental criticism you offer of my opinion. In typical fashion you make claims which you don't support at all. Here is my post below, point out WITH EVIDENCE!!! what I am distorting in any way; especially that which I hold dear. In other words, write a cogent and rational post which makes sense when applied to the quoted post it intends to attack. emoticonXDonno ",Sarcastic,Non-Sarcastic,Disagree,Unknown
83,"Well if it's so easy then how about you provide the names of the dealers who're selling howitzers and anti-aircraft missiles and fragmentation grenades? And while you're at it, supply the names of the companies who're making them in violation of the various federal restrictions.",Sarcastic,Sarcastic,Agree,Sarcastic
84,"Actually, selection occurs by differential reproductive rates. What this means is that organisms which reproduce more will have more offspring than the others (obviously). Therefore, traits that help organisms reproduce will become more prevailant.",Sarcastic,Sarcastic,Agree,Sarcastic
85,"There is a point, however, that the fetal lung is not mature enough to survive outside the womb even with mechanical assistance. So, unless our technology will be pretty radically different in the future, it isn't about getting it out, it's about it not surviving when it is out.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
86,"Oh it applies, but if we were to look at the Bible that way, God wouldn't allow one single bad thing to happen.",Sarcastic,Non-Sarcastic,Disagree,Unknown
87,"And there we go again. Re-read the bit about dancing around the land mines, if you in fact did read it the first time.",Sarcastic,Sarcastic,Agree,Sarcastic
88,But the military is pretty much all a volunteer thing. It's not a hiring process--employer/employee thing. That arrangement lends itself more to the soldier not volunteering for service in the first place.,Sarcastic,Sarcastic,Agree,Sarcastic
89,"Well let's put it this way. I really like playing baseball. So I put in a law that says everyone has to play baseball unless they're in a position where it will threaten their life. Since it's such a wonderful thing no one should have any problem with a law passed, right?",Sarcastic,Sarcastic,Agree,Sarcastic
90,"I'm one of those cruel heartless bastards that thinks the Constitution doesn't apply to terrorists. Break out the cattle prods and ""LET'T PARTY"" emoticonXRolleyes",Non-Sarcastic,Sarcastic,Disagree,Unknown
91,You could put the stranger out even if they had nowhere to go and it was freezing cold out.,Sarcastic,Sarcastic,Agree,Sarcastic
92,As long as it resides within said woman - you bet. Kind of like you get to decide the rules for your house and who you are gonna let in the door OR throw out when they become detrimental to your household in some way.,Sarcastic,Sarcastic,Agree,Sarcastic
93,"i'm surprised. i was sure you'd have read her essays on capitalism, but i guess only so many books are required before you can defend proper economics.",Sarcastic,Sarcastic,Agree,Sarcastic
94,And the ability to digest nylon is not a new function?? You seem to have a different conception of 'new function' that what matches with reality.,Sarcastic,Sarcastic,Agree,Sarcastic
95,"How refreshing. Sadly for you and like-minded ""patriots"", you cannot tell citizens where they ""should go"", except figuratively.",Sarcastic,Sarcastic,Agree,Sarcastic
96,"too stupid and liberal!! if they were being exploited that could not now afford 75 million smart phones at $150 a month!!
",Non-Sarcastic,Sarcastic,Disagree,Unknown
97,So am I correct that you believe it would politically incorrect for Democrats to bring a concealed handgun or open carry gun to a Democratic Meeting? How about Brady and Galileo? I remind that the esteemed congresswoman was pro-gun.   2 Lawmakers to Carry Guns in Home Districts ,Non-Sarcastic,Sarcastic,Disagree,Unknown
98,"Because there's absolutely no due process in this proposal. Your name is on the list, your rights are revoked. That's not due process. There's no court of law, no trial, no verdict, no attorneys, no chance for the accused to defend themselves, etc. We still haven't forgotten the Homeland Security memo that said veterans and those opposed to abortion could be potential terrorists.",Sarcastic,Sarcastic,Agree,Sarcastic
99,Finally someone answered the question. Thanks. I thought it might be the government.Does your government attempt to do this?What do you think about other democratic nations that have citizens that are less armed? Do you think that they're in danger - or is it only the American government that's out to do this?,Sarcastic,Sarcastic,Agree,Sarcastic
100,"I think bringing ""emotions"" into the question of whether God exists or not tends to cloud the issue a bit.Isn't the essence of atheism a rational enquiry which concludes that in the absence of any credible evidence, there is no reason to believe in God ? An emotional attachment to ""non-belief"" would be irrelevant (and irrational).",Sarcastic,Sarcastic,Agree,Sarcastic
101,Explained away means what? If you don't agree with the mainstream you are wrong. He has not been refuted and he has lots of pictures. Why not go to his site and look?,Sarcastic,Sarcastic,Agree,Sarcastic
102,"i love it when 'heathens' try to tell me what my religion does or doesn't do. emoticonxrolleyes  ah yes, here come the personal attacks. duo must be getting desperate again.",Sarcastic,Sarcastic,Agree,Sarcastic
103,From the Catholic Educators Resource Center...Yeah...I am sure there would be no myths in there...sure you're right. emoticonXRolleyes,Sarcastic,Sarcastic,Agree,Sarcastic
104,"I looked it up and apparently there is a synthetic form of THC on the market, (generically known as Dronabinol and sold under the trade name Marinol). But it is only allowed under restricted prescription (it's a Schedule II controlled substance, the same as morphine or cocaine) and is far less effective than plant-derived THC.",Sarcastic,Non-Sarcastic,Disagree,Unknown
105,"Well, we have our head in the sand in more ways than one.",Sarcastic,Sarcastic,Agree,Sarcastic
106,"As I mentioned above, science curriculums follow paths. One's worldview plays heavily on one's interpretation of scientific data. An agnostic, or atheist teaching establishment can become satisfied with one path of scientific theories without searching for others. There may be more to be discovered about thermodynamics, cell structure, irreducible complexity, the decay rate of the earth's magnetic field, radiometric dating, the fossil record, and countless other things that a teaching establishment may not be interested in exploring, if it's comfortable with it's interpretation of current data's indications that the happenstance origins worldview is correct. It goes back to what we touched on before - teaching students HOW to think, not WHAT to think.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
107,"Pure conjecture on your part. As a father of three, I have as much vested interest in my kids as my wife has. To suggest otherwise is BS. But, maybe you don't understand that because you haven't walked a mile in a father's shoes. emoticonXRolleyes",Sarcastic,Sarcastic,Agree,Sarcastic
108,"You also need to borrow a new insult. Did you get that one from Crim?
",Sarcastic,Non-Sarcastic,Disagree,Unknown
109,O they don't make space anymore. They'll just put him in a cell with pot growers and crack addicts. He'll be lucky if he gets a spot on the floor to sleep on.,Sarcastic,Sarcastic,Agree,Sarcastic
110,"Listen, I have forgotten more than you will ever learn about what is real and true in this world, so either back up your insults with facts or get lost because It is becoming painfully obvious that attempting to reason with you is an exercise in futility. kind of like trying to travel from point A to point B on a merry-go-round.",Non-Sarcastic,Sarcastic,Disagree,Unknown
111,"i love how your sources never support your point. well, i wasn't able to find out about the rebellions of christianity from your source, but it did show some positive points, so i guess that was good.",Sarcastic,Sarcastic,Agree,Sarcastic
112,maybe he'll unban himself on the third day (or was that three days and three nights...),Sarcastic,Sarcastic,Agree,Sarcastic
113,"wow, what a cool suggestion! yes, this has happened to me before. thank you for the idea! would the individual clarify in the debate itself or in a separate argument/posting?",Sarcastic,Sarcastic,Agree,Sarcastic
114,"did i happen to say that genes had no influence on who you are? no? please read what i said earlier, there's more to you than your enviroment or genes, there's also your personal choices and beliefs.",Non-Sarcastic,Sarcastic,Disagree,Unknown
115,"Well, this guy is so bad ad arguing and so good at alienating people that if we sent him into the abortion forum, it is likely, he'd be so ineffective at defending his pro-life position thathe'd actually be contributing to the pro-choice position...",Sarcastic,Sarcastic,Agree,Sarcastic
116,"How is that a strawman? Your challenge directly relies upon something you assume to be proven, but has not been. Therefore even in a hypothetical stance, your underlying arguments are invalid, thus leading to everything else being invalid. You're not doing so well on this forum.",Sarcastic,Sarcastic,Agree,Sarcastic
117,"Since you bring it up, I do think that you are a nut. But your site is even nuttier. Not one shred of evidence that I found - just assertion. Moreover, the author doesn't seem to know the difference between an hypothesis and a theory.",Non-Sarcastic,Sarcastic,Disagree,Unknown
118,"Well, this comes from the same people who invented the death pannels. The truth is that all the developed countries (all of Europe, Canada, Japan, Australia, New Zealand, Taiwan, Israel) have universal healthcare. Their COST per capita is about half of ours. They have better outcomes.Universal healthcare has been tried in many places and it does work. What does not work is our current system. Wellpoint has just increased premiums by 30% even wiyhout a reform bill. They spend 30% on administrative costs.BTW, do you oppose the bill that would force them to limit the administrative costs to 20%?",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
119,"That ""brilliant"" statement has absolutely NOTHING to do with the original point. 
...later",Sarcastic,Non-Sarcastic,Disagree,Unknown
120,But how can we make rules without legal lines in sand? At least its better than an illegal line.,Sarcastic,Sarcastic,Agree,Sarcastic
121,Other than the Soldini firearms were purchased legally there is no proof that he had a concealed carry permit. If he had the AP and the rest of the left-tard media (redundancy alert) would still be shouting it from the roof tops. Just because the Brady bunch-VPC says so doesn't make it true. Then what else can we expect from a self confessed torturer of helpless small animals and arsonist?,Sarcastic,Non-Sarcastic,Disagree,Unknown
122,"lol, what did you mean by that? i'm not sure, and dont want to assume the tone you infer with. i thought it was funny but wanted to clarify. ps; i have never called anyone a 'fetus worshiper', although at least that label does not elicit the same evil connotations 'pr-abortion does'. @ simone, no worries hun :)",Non-Sarcastic,Sarcastic,Disagree,Unknown
123,"That's the best you could do? There's the other three and here's a bonus one:   'To disarm the people is the best, most effectual way, to enslave them.'   - George Mason",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
124,Dragons and Dinosaurs coexisting only recently? hmm when they did dissapear? Maybe Conan the Barbarian killed them all!,Sarcastic,Sarcastic,Agree,Sarcastic
125,"And it could have been liberal ALIENS as well!Oooh. Can we make them gay illegal immigrants? I like that slant!Maybe they were talking about how he was ""terrorizing"" people with his fashion sense? Or maybe the ""terrorist"" comment wasn't even with regards to anything Palin said either. Maybe one of the guys thought he saw Osama bin Laden in the audience!YOU DON'T KNOW!emoticonXDonno",Non-Sarcastic,Sarcastic,Disagree,Unknown
126,"Well, yes, the idea of an omnipotent being with a definable physical (or even mental) form has always struck me as a little... odd.",Sarcastic,Sarcastic,Agree,Sarcastic
127,"I think that's a good question. I also wonder how long the medical establishment has had this rule? Since there must be some long-standing procedures in executions in the United States that require, by law, a doctor's supervision.",Sarcastic,Sarcastic,Agree,Sarcastic
128,"so you argue that for some women, abortion is the 'easy way out', and that those women choose to abort, take the easy way out as you say, for arbitrary reasons? could you please reiterate these reasons here (preferably in an enumerated list) and explain why they should be considered arbitrary? indeed. but we've established that supposing a higher profile in the media in no way entails an actual increase in incidents.  so i'll repeat the question, hearsay aside, upon what evidence do you base the assertion that more women are abandoning infants?",Sarcastic,Sarcastic,Agree,Sarcastic
129,"If that's truly what the organization says, then it's a hypocrite of an organization.",Sarcastic,Sarcastic,Agree,Sarcastic
130,So what this guy is saying is that he believes in natural selection but not evolution?,Sarcastic,Sarcastic,Agree,Sarcastic
131,"now isn't that a terribly socialistic position to take? but, i'm confused by it at the same time, for socialists like you don't really want to kill the goose that lays the golden eggs now do you? emoticonxrolleyes when logic fails, there's alway ad hominem, right? and the ad hominen continues..... we're larger, more diverse, more litigious, need i go on? leaving the continued ad hominem aside, one of the causes for our high healthcare costs is litigation. since the dnc survives on the money derived from the blood-sucking trial lawyers lobby, i don't see real reform occurring until we cut those purse strings along with the big pharma's.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
132,"Oh I hated being pregnant. However I am not really arguing whether pregnancy in and of itself is punishment, I suspect that is an opinion matter - there are some crazy women who actually liked pregnancy. ;) Julie - however clearly feels that it is acceptable to use a pregnancy and parenting in a punitive matter against women she feels are irresponsible.",Sarcastic,Sarcastic,Agree,Sarcastic
133,i heard there were star trek cartoons back in the 70s. i'm surprised tv land or the cartoon network hasn't shown them.,Sarcastic,Non-Sarcastic,Disagree,Unknown
134,"ok, but a government can't grant benefits/priviledges based on statistical likelihood of an action. blacks are far more likely to be incarcerated than whites, does that mean we can premptively throw them all in jail? no, we create responses based on what people actually do. thus, if a heterosexual or homosexual decides to have children, they should get a tax credit for it. or you can go the reverse, that every married couple gets a tax credit, regardless of whether they have children or not (my personal advocacy). but granted benefits based on statistics is absurdly unfair, if only because people deserve to be treated as individuals, not numbers.",Non-Sarcastic,Sarcastic,Disagree,Unknown
