S.No,Sentence,Annotator 1,Annotator 2,IAA,Char_Length,Word_Count,Is_English,label
53,"Actually, the process of fossilisation is not slow and can be done relatively quickly. All what you need is for sediments to quickly cover a dead (or an alive body - as what would have happened to Noah's Flood) and hence, fossilsation can occur rapidly; evolutionarly speaking, fossils take millions of years to fossilise a bone, but unless the bone is covered by sediments quickly, the bone will never fossilise. ",Non-Sarcastic,Non-Sarcastic,Agree,414,70,True,Non-Sarcastic
54,"If one can't attempt to falsify a theory then it is not open to science and therfore useless to science.
 
 It becomes simply an untestable belief.",Non-Sarcastic,Non-Sarcastic,Agree,149,26,True,Non-Sarcastic
55,"Yes, you also have to admire his philosophy on this: go against my opinion and physical harm will befall you.   Who needs reason when you can threaten your opponents with death?",Sarcastic,Sarcastic,Agree,177,31,True,Sarcastic
56,"Their ""ultimate reality"" is that some higher authority may exist. It's still an ""ultimate reality"" to them. Definitely a religion.",Non-Sarcastic,Non-Sarcastic,Agree,130,20,True,Non-Sarcastic
57,"I think you need to answer the same question I asked the other guy, who is God?",Non-Sarcastic,Non-Sarcastic,Agree,79,17,True,Non-Sarcastic
58,"much more is happening in the world today than your little gay crusade matthew. but keep your single issue, and totally limited perspective in life, that's what you're good at. could you post where i said that revelation speaks to the rcc vs the protestant reformation ms ? as christ was a jew trebor, his followers wont ever cease to exist, just as god has preserved the jew according to his promises. i'm surprised you can't appreciate that my friend.",Sarcastic,Sarcastic,Agree,453,80,True,Sarcastic
59,"**
Apparently you refuse to accept the fact that in English the words ""test"" and ""measure"" are NOT synonymous. Duh!!
",Sarcastic,Sarcastic,Agree,119,20,True,Sarcastic
62,"Invalid argument to assert that mutations can map a road outside of their assigned task in illogical, where would the information to do so come from? Biology works because every individual cell doing what it was created to do along with what the one next to it was, though created to perform another set of instructions creates the molecular change that the combination of the cells together would produce. But there is no additional information there... not int he way you assert.",Non-Sarcastic,Non-Sarcastic,Agree,481,82,True,Non-Sarcastic
63,"If it was her head, I'd say implode. Air rushes in to fill a vacuum. ;)",Sarcastic,Sarcastic,Agree,71,16,True,Sarcastic
66,I'll give you that one...only because I think by then women will be able to place their fertilized ovums in banks.   But then again they said the same thing about robot servants and flying cars too!,Sarcastic,Sarcastic,Agree,198,36,True,Sarcastic
68,"btw, jazyjason, before you edited out your complimentary comment about howard dean. just wanted to say i'm surprised you said anything to associate yourself thus with a such an irrational far left commie. must stay with the mudflingers and lynch mobs and, especially if they're jesus lovers, ya know. so ... i understand why you took it down. merry christmas.",Sarcastic,Sarcastic,Agree,359,60,True,Sarcastic
69,"Well hey, if you want the analogy, ya gotta live with where it bites ya ... emoticonXGood",Sarcastic,Sarcastic,Agree,89,17,True,Sarcastic
70,"Nope, you're posting your own BS.. and just making yourself look more stupid than you are.. if that's possible...
emoticonXCryemoticonXCryemoticonXCryemoticonXCryemoticonXCryemoticonXCryemoticonXCryemoticonXCry
How's your Uncle EZridden.. haven't seen him today...emoticonXKill",Sarcastic,Sarcastic,Agree,279,28,True,Sarcastic
72,Hehe.   Putting political messages on such things seems retarded to me though.   -Wez,Sarcastic,Sarcastic,Agree,85,13,True,Sarcastic
74,"he's one of your allies, so i'm surprised you'd think so.",Sarcastic,Sarcastic,Agree,57,11,True,Sarcastic
77,"Yup. Give me an example of a true inaccuracy, instead of working to poke fun. Do you honestly think anyone will take you seriously (except the evolutionists) if you don't provide reasons for your apparent problem with scriptures. Are you scared because you see the ""ancients"" commenting on subjects you thought science had ""discovered"" since the ""enlightenment""? Man, how arrogant can you get? You remind me of the Pharasees. Arrogant presuppositions are no substitue for confronting your ignorance my friend. Either explain how the Bible speaks accurately on sophisticated subjects as given above, or don't bother posting.",Sarcastic,Sarcastic,Agree,623,97,True,Sarcastic
78,"AGREED!!!!That has to be BY FAR the best series I've ever read!Also, Asimov's Foundation triligoy is good. And again, the classics:Fahrenheit 4511984Catcher in the Rye...and all those other depressing books...",Non-Sarcastic,Non-Sarcastic,Agree,209,30,True,Non-Sarcastic
81,So have you found figures pertaining to the rate of mountain growth? It is not enough to see with the naked eye the way erosion is. This explanation would also cause some mountains to fall as tectonic plates move away from eachother. Again after billions of years all rivers in existence would be deeper than those in the grand canyon without the material coming down from mountains.,Sarcastic,Sarcastic,Agree,383,67,True,Sarcastic
83,"Well if it's so easy then how about you provide the names of the dealers who're selling howitzers and anti-aircraft missiles and fragmentation grenades? And while you're at it, supply the names of the companies who're making them in violation of the various federal restrictions.",Sarcastic,Sarcastic,Agree,279,45,True,Sarcastic
84,"Actually, selection occurs by differential reproductive rates. What this means is that organisms which reproduce more will have more offspring than the others (obviously). Therefore, traits that help organisms reproduce will become more prevailant.",Sarcastic,Sarcastic,Agree,248,34,True,Sarcastic
85,"There is a point, however, that the fetal lung is not mature enough to survive outside the womb even with mechanical assistance. So, unless our technology will be pretty radically different in the future, it isn't about getting it out, it's about it not surviving when it is out.",Non-Sarcastic,Non-Sarcastic,Agree,279,49,True,Non-Sarcastic
87,"And there we go again. Re-read the bit about dancing around the land mines, if you in fact did read it the first time.",Sarcastic,Sarcastic,Agree,118,24,True,Sarcastic
88,But the military is pretty much all a volunteer thing. It's not a hiring process--employer/employee thing. That arrangement lends itself more to the soldier not volunteering for service in the first place.,Sarcastic,Sarcastic,Agree,205,32,True,Sarcastic
89,"Well let's put it this way. I really like playing baseball. So I put in a law that says everyone has to play baseball unless they're in a position where it will threaten their life. Since it's such a wonderful thing no one should have any problem with a law passed, right?",Sarcastic,Sarcastic,Agree,272,52,True,Sarcastic
91,You could put the stranger out even if they had nowhere to go and it was freezing cold out.,Sarcastic,Sarcastic,Agree,91,19,True,Sarcastic
92,As long as it resides within said woman - you bet. Kind of like you get to decide the rules for your house and who you are gonna let in the door OR throw out when they become detrimental to your household in some way.,Sarcastic,Sarcastic,Agree,217,45,True,Sarcastic
93,"i'm surprised. i was sure you'd have read her essays on capitalism, but i guess only so many books are required before you can defend proper economics.",Sarcastic,Sarcastic,Agree,151,27,True,Sarcastic
94,And the ability to digest nylon is not a new function?? You seem to have a different conception of 'new function' that what matches with reality.,Sarcastic,Sarcastic,Agree,145,26,True,Sarcastic
95,"How refreshing. Sadly for you and like-minded ""patriots"", you cannot tell citizens where they ""should go"", except figuratively.",Sarcastic,Sarcastic,Agree,127,18,True,Sarcastic
98,"Because there's absolutely no due process in this proposal. Your name is on the list, your rights are revoked. That's not due process. There's no court of law, no trial, no verdict, no attorneys, no chance for the accused to defend themselves, etc. We still haven't forgotten the Homeland Security memo that said veterans and those opposed to abortion could be potential terrorists.",Sarcastic,Sarcastic,Agree,382,63,True,Sarcastic
99,Finally someone answered the question. Thanks. I thought it might be the government.Does your government attempt to do this?What do you think about other democratic nations that have citizens that are less armed? Do you think that they're in danger - or is it only the American government that's out to do this?,Sarcastic,Sarcastic,Agree,311,53,True,Sarcastic
100,"I think bringing ""emotions"" into the question of whether God exists or not tends to cloud the issue a bit.Isn't the essence of atheism a rational enquiry which concludes that in the absence of any credible evidence, there is no reason to believe in God ? An emotional attachment to ""non-belief"" would be irrelevant (and irrational).",Sarcastic,Sarcastic,Agree,332,56,True,Sarcastic
102,"i love it when 'heathens' try to tell me what my religion does or doesn't do. emoticonxrolleyes  ah yes, here come the personal attacks. duo must be getting desperate again.",Sarcastic,Sarcastic,Agree,173,30,True,Sarcastic
103,From the Catholic Educators Resource Center...Yeah...I am sure there would be no myths in there...sure you're right. emoticonXRolleyes,Sarcastic,Sarcastic,Agree,134,18,True,Sarcastic
105,"Well, we have our head in the sand in more ways than one.",Sarcastic,Sarcastic,Agree,57,13,True,Sarcastic
106,"As I mentioned above, science curriculums follow paths. One's worldview plays heavily on one's interpretation of scientific data. An agnostic, or atheist teaching establishment can become satisfied with one path of scientific theories without searching for others. There may be more to be discovered about thermodynamics, cell structure, irreducible complexity, the decay rate of the earth's magnetic field, radiometric dating, the fossil record, and countless other things that a teaching establishment may not be interested in exploring, if it's comfortable with it's interpretation of current data's indications that the happenstance origins worldview is correct. It goes back to what we touched on before - teaching students HOW to think, not WHAT to think.",Non-Sarcastic,Non-Sarcastic,Agree,761,113,True,Non-Sarcastic
107,"Pure conjecture on your part. As a father of three, I have as much vested interest in my kids as my wife has. To suggest otherwise is BS. But, maybe you don't understand that because you haven't walked a mile in a father's shoes. emoticonXRolleyes",Sarcastic,Sarcastic,Agree,247,45,True,Sarcastic
109,O they don't make space anymore. They'll just put him in a cell with pot growers and crack addicts. He'll be lucky if he gets a spot on the floor to sleep on.,Sarcastic,Sarcastic,Agree,158,33,True,Sarcastic
111,"i love how your sources never support your point. well, i wasn't able to find out about the rebellions of christianity from your source, but it did show some positive points, so i guess that was good.",Sarcastic,Sarcastic,Agree,200,37,True,Sarcastic
112,maybe he'll unban himself on the third day (or was that three days and three nights...),Sarcastic,Sarcastic,Agree,87,16,True,Sarcastic
113,"wow, what a cool suggestion! yes, this has happened to me before. thank you for the idea! would the individual clarify in the debate itself or in a separate argument/posting?",Sarcastic,Sarcastic,Agree,174,30,True,Sarcastic
115,"Well, this guy is so bad ad arguing and so good at alienating people that if we sent him into the abortion forum, it is likely, he'd be so ineffective at defending his pro-life position thathe'd actually be contributing to the pro-choice position...",Sarcastic,Sarcastic,Agree,249,43,True,Sarcastic
116,"How is that a strawman? Your challenge directly relies upon something you assume to be proven, but has not been. Therefore even in a hypothetical stance, your underlying arguments are invalid, thus leading to everything else being invalid. You're not doing so well on this forum.",Sarcastic,Sarcastic,Agree,279,46,True,Sarcastic
118,"Well, this comes from the same people who invented the death pannels. The truth is that all the developed countries (all of Europe, Canada, Japan, Australia, New Zealand, Taiwan, Israel) have universal healthcare. Their COST per capita is about half of ours. They have better outcomes.Universal healthcare has been tried in many places and it does work. What does not work is our current system. Wellpoint has just increased premiums by 30% even wiyhout a reform bill. They spend 30% on administrative costs.BTW, do you oppose the bill that would force them to limit the administrative costs to 20%?",Non-Sarcastic,Non-Sarcastic,Agree,599,99,True,Non-Sarcastic
120,But how can we make rules without legal lines in sand? At least its better than an illegal line.,Sarcastic,Sarcastic,Agree,96,19,True,Sarcastic
123,"That's the best you could do? There's the other three and here's a bonus one:   'To disarm the people is the best, most effectual way, to enslave them.'   - George Mason",Non-Sarcastic,Non-Sarcastic,Agree,169,31,True,Non-Sarcastic
126,"Well, yes, the idea of an omnipotent being with a definable physical (or even mental) form has always struck me as a little... odd.",Sarcastic,Sarcastic,Agree,131,24,True,Sarcastic
128,"so you argue that for some women, abortion is the 'easy way out', and that those women choose to abort, take the easy way out as you say, for arbitrary reasons? could you please reiterate these reasons here (preferably in an enumerated list) and explain why they should be considered arbitrary? indeed. but we've established that supposing a higher profile in the media in no way entails an actual increase in incidents.  so i'll repeat the question, hearsay aside, upon what evidence do you base the assertion that more women are abandoning infants?",Sarcastic,Sarcastic,Agree,550,93,True,Sarcastic
129,"If that's truly what the organization says, then it's a hypocrite of an organization.",Sarcastic,Sarcastic,Agree,85,14,True,Sarcastic
130,So what this guy is saying is that he believes in natural selection but not evolution?,Sarcastic,Sarcastic,Agree,86,16,True,Sarcastic
131,"now isn't that a terribly socialistic position to take? but, i'm confused by it at the same time, for socialists like you don't really want to kill the goose that lays the golden eggs now do you? emoticonxrolleyes when logic fails, there's alway ad hominem, right? and the ad hominen continues..... we're larger, more diverse, more litigious, need i go on? leaving the continued ad hominem aside, one of the causes for our high healthcare costs is litigation. since the dnc survives on the money derived from the blood-sucking trial lawyers lobby, i don't see real reform occurring until we cut those purse strings along with the big pharma's.",Non-Sarcastic,Non-Sarcastic,Agree,643,109,True,Non-Sarcastic
132,"Oh I hated being pregnant. However I am not really arguing whether pregnancy in and of itself is punishment, I suspect that is an opinion matter - there are some crazy women who actually liked pregnancy. ;) Julie - however clearly feels that it is acceptable to use a pregnancy and parenting in a punitive matter against women she feels are irresponsible.",Sarcastic,Sarcastic,Agree,355,62,True,Sarcastic
136,"no, you just live on delusions.   you can't argue the merits of creationism on their own because they don't exist.   Creationism is a fraud regardless of the existance of evolution.",Sarcastic,Sarcastic,Agree,181,30,True,Sarcastic
138,Instant Tea Blog Archive Divorce rates higher in states with amendments banning gay marriage   Check out the stats at the above link.,Sarcastic,Sarcastic,Agree,133,22,True,Sarcastic
141,"Ah so you forfeit! YEAH, yea have little faith. Make me understand. Answer my valid questions! Or run and pray, but you'd be better off reading a Physics textbookemoticonXKill",Sarcastic,Sarcastic,Agree,175,29,True,Sarcastic
142,"In my lifetime, we've made huge strides, but there's a lot more to learn.",Sarcastic,Sarcastic,Agree,73,14,True,Sarcastic
143,"well, i am a north european. i thought all europeans opened presents on christmas eve, i thought opening them the morning on 25th was an american thing. but i guess i was wrong.",Sarcastic,Sarcastic,Agree,177,33,True,Sarcastic
146,"So let me get this right. To counter Accipiter's statement that you have the intellectual maturity of a 10 y/o, you string together a bunch of words that you don't understand in context that makes absolutely no sense? 
Point - set - match Accipiter.",Non-Sarcastic,Non-Sarcastic,Agree,250,44,True,Non-Sarcastic
147,"it depends on what kind of faith you are talking about. do you mean 'having faith' in actual things? if so, then most definately. although the world can sometimes be a cruel and horrible place, it can also be a fantastic one, and seeing that (as i'm an athiest) gives me some kind of 'faith' in the human capacity, society, etc (where as a religious person may well have the same reaction for their faith in god).",Sarcastic,Sarcastic,Agree,413,77,True,Sarcastic
148,I think you mean to say is hunters not liberal democrat hunters. Actualy I know of very few hunters that only have rifles or shot guns they usualy also have pistols to since you can hunt with them also.,Sarcastic,Sarcastic,Agree,202,39,True,Sarcastic
149,"You know what the funny thing is about all of the ""links"" that they have found between ape and man? I could easily find people today that look exactly like the ""links"" that scientists have found. Maybe you should try picking one ""link"" from the site that you gave me. I could give you creationist sites, but that wouldn't prove anything more than your site proved. Here's an alternative theory: creation by God.",Sarcastic,Sarcastic,Agree,411,73,True,Sarcastic
150,"You bet. Got a Scriptural problem with that, 'O ""jesus""? Or are you not familiar with your own inspired Word?",Non-Sarcastic,Non-Sarcastic,Agree,109,20,True,Non-Sarcastic
154,"He was referring to the mimivirus which does NOT act like any other virus. Some of you people need to study a little harder :) 
",Sarcastic,Sarcastic,Agree,129,25,True,Sarcastic
155,"Because when something passes every experiment thrown at it and when something fits observation better than anything else, then it's as near as damnit fact. We can get pedantic over this if you want, but the conclusion that reaches is that there are no facts.",Sarcastic,Sarcastic,Agree,259,45,True,Sarcastic
156,He is a hell of a lot wiser than thee.,Sarcastic,Sarcastic,Agree,38,10,True,Sarcastic
157,"i love how what you 'personally' feel is in direct conflict with acedemic studies. science says force = mass times acceleration, but i personally feel that force = velocity times volume, so that must be the right answer.",Sarcastic,Sarcastic,Agree,220,38,True,Sarcastic
158,"There ya go S&p, make sure you crumble under their combined criticisms of your honest opinion. Make sure you always say nothing that offends their gay sensibilities. You may think that's how to be excepted by them but it isn't. It's just the way people of the world like you float through without ever defending any absolute truths at all.",Non-Sarcastic,Non-Sarcastic,Agree,339,60,True,Non-Sarcastic
161,">_> one would think pulling the power, breaking into someone's house, and having raped her once and been reported would have been proof enough. 
What do you want a video of him raping her or something?",Sarcastic,Sarcastic,Agree,202,36,True,Sarcastic
162,"The bible account is incomplete - Noah had two boats, the ark, and the arkuarium.",Sarcastic,Sarcastic,Agree,81,15,True,Sarcastic
167,"But recognition of the big bang as a very good explanation of cosmology isn't limited to evolutionsits. In fact, most other scientists also believe so, most especially cosmologists and astrophysicists, who are directly concerned with the early universe. Evolutionists, even though the origin of matter and time are irrelevant to the study of evolution, are also educated in science and probably accept the work done by these other scientists.",Non-Sarcastic,Non-Sarcastic,Agree,442,69,True,Non-Sarcastic
169,"There is some truth here. Did you ever see ""Independence Day""? They were taking pot-shots at the alien ships when they first arrived. It didn't stop the aliens... sure only a film... let's look at real life...modern - Iraq - Sadaam gave guns out to the people just before Gulf War IInot so modern - Boer War - Dutch farmers in South Africa were all excellent marksmen - Britain still invaded.US Civil War - I believe that the Confederate States were pretty well armed as far as the white citizens were concerned. US still invaded.",Sarcastic,Sarcastic,Agree,530,95,True,Sarcastic
170,"Hey, I'm from Joisey. Youz guys better watch what you say about us or you'll be sleeping with the fishes. emoticonXKill",Sarcastic,Sarcastic,Agree,119,21,True,Sarcastic
173,"Er...
Well, I guess she's hot for being in her 40s. Sounds like Antonia needs a tampon right now.",Non-Sarcastic,Non-Sarcastic,Agree,98,19,True,Non-Sarcastic
175,"pro-choice - i agree but first trimester only pro-euthanasia - i agree pro-environmentalism - mmmm? depends pro-gay rights - again... depends pro-immigration ( to an extent) - legal? yes! illegal? no. pro-free healthcare - disagree anti-military action/intervention - mmmm... less, yes but depends anti-globalisation - agree anti-death penalty - disagree pro-stem-cell research - agree pro-gun control - disagree pro-welfare. - disagree pro-marijuana legalisation - agree pro-tobacco illigalisation - disgree i'm surprised you're anti-globalization",Sarcastic,Sarcastic,Agree,548,73,True,Sarcastic
177,"so you are into pommy bashing now? mae honey, is there anybody you don't like? emoticonXRolleyes",Sarcastic,Sarcastic,Agree,96,16,True,Sarcastic
179,"Dunno about that. It looks pretty danged cozy for the corporate socialist.
The American people, however, look to be shat upon by the Republicorps screaming and bawling in the streets.",Non-Sarcastic,Non-Sarcastic,Agree,184,30,True,Non-Sarcastic
181,"Most people are not pro-abortion, they are pro-choice. No one here is going around demanding that women must have abortions.",Non-Sarcastic,Non-Sarcastic,Agree,124,20,True,Non-Sarcastic
184,"oh really? is that apparently so? i don't believe that. allow me to show you error in your beliefs. god knows everything,correct?",Sarcastic,Sarcastic,Agree,129,22,True,Sarcastic
185,"Oh, really? Does that mean that pesticides will be OK on marijuana plants? NO.",Sarcastic,Sarcastic,Agree,78,14,True,Sarcastic
188,"WOW are we seeing the softer, gentiler Jyoshu? 
Your snoopy avatar must be afecting you :) :p",Non-Sarcastic,Non-Sarcastic,Agree,94,17,True,Non-Sarcastic
191,This seems to conflict with some of your earlier posts wherein you support terrorists.,Sarcastic,Sarcastic,Agree,86,14,True,Sarcastic
192,"Bad Religion or misapplied Religion has been in every century, country and culture.",Sarcastic,Sarcastic,Agree,83,13,True,Sarcastic
193,I know we know a great deal but even if it is from a taxonomy point of view I still don't think there is conclusive evidence.,Sarcastic,Sarcastic,Agree,125,26,True,Sarcastic
194,"But you know it is more then just that. The poster gave a specific date that is relevant to when abortion was legalized. It shows the poster is being selective and may hold prejudice to fetuses who arent aborted by legal abortions. You see, it is the pro-life movement's selective outrages that makes me think they aren't serious about abortion as a whole. ",Sarcastic,Sarcastic,Agree,357,63,True,Sarcastic
197,"Oh, I hear you. I am covered by my partner's insurance here as well. I would not have been able to get the insurance if we were not legally a union. It's amazing. And I am REALLY greatful for that!",Sarcastic,Sarcastic,Agree,197,40,True,Sarcastic
199,"were it so simple. for the agents to 'freely assemble' among us they, or their superiors, must conclude that we are some sort of threat. would that make you feel loved? on a side note, i'm always surprised at how 'conservatives', normally so worried about government waste, take such a waste of taxpayer dollars so glibly. fbi investigating kiss-ins? joining subversive 'terrorist' xxxx biker groups?",Sarcastic,Sarcastic,Agree,400,65,True,Sarcastic
